id,author,author_id,text,timestamp,like_count,is_favorited,is_pinned,parent,video_id
Ugyn_4_VSrPt3jHz33R4AaABAg.AZ9mQL9GrdRAZ9weXhOgbm,@fajarnurikhsan-e1u,UC2gs4-RBBuljYa9orOI5SNg,10+6=17,1783900800,1,False,False,Ugyn_4_VSrPt3jHz33R4AaABAg,
UgybzmOBojwPWxndcwd4AaABAg,@arjunrollingRolling,UC3pLpNYb0MQA5QvnXqB_aeA,Terimakasih banyak pak Prabowo Subianto presiden RI ❤❤❤,1783900800,2,False,False,root,
UgwEzFFjEZ8YhwkOK0x4AaABAg,@oentarinitjitro,UC3BAlrO5eVg00M3dl8kMd6g,"Kalian yang berkomentar negatif berarti kalian sudah terpengaruh oleh pihak2 yang ingin menghancurkan negara, apa kalian berpihak pada pihak asing ??? Apakah dibayar untuk memberi narasi negatif ???",1783900800,3,False,False,root,
UgwEzFFjEZ8YhwkOK0x4AaABAg.AZ9hUOQdlkYAZ9wjdlEk7W,@fajarnurikhsan-e1u,UC2gs4-RBBuljYa9orOI5SNg,10+6=17,1783900800,0,False,False,UgwEzFFjEZ8YhwkOK0x4AaABAg,
UgwEzFFjEZ8YhwkOK0x4AaABAg.AZ9hUOQdlkYAZBMCtD6sck,@nani3858,UC9kxc8W-bCOglK4YHMlF6zw,"Osang aseng Osang aseng Osang aseng, MUAK dengernya, yang bobrok di dalam negri, yang disalahin Osang aseng, gak jelas bener nih, gak waras orang yang bilang kaya gitu",1783900800,0,False,False,UgwEzFFjEZ8YhwkOK0x4AaABAg,
UgxSD8nZYJ1T8YCyEgd4AaABAg,@oentarinitjitro,UC3BAlrO5eVg00M3dl8kMd6g,"Sabar ,tidak mudah mengurus negara beri kesempatan kepada Bapak Presiden untuk berbenah negara ini,jangan mudah mencaci maki, jangan mudah termakan suara miring tentang presiden kitai, cintailah ibu pertiwi ,turut mendukung dan berdoa pemerintahan  kami agar boleh tercapai pertumbuhan, berbenah bukan seperti kalian membalik tangan, biasakanlah berpikiran positif.",1783900800,5,False,False,root,
UgyFY7-kM11GJgEm4mF4AaABAg,@tuminahminah1674,UCamJUH4xqa3xxpuWNYbvtww,"Mantap,Bravo presiden Prabowo Subianto
Salam 2 periode",1783900800,2,False,False,root,
Ugw8otkIOKNmMzxm5EV4AaABAg,@thiyoelyasa4248,UCl24j357nwm6JwTCRCRA57Q,20:23 Yang merasa Indonesia suram silakan kalau mau cari negara lain 😂,1783900800,6,False,False,root,
Ugw8otkIOKNmMzxm5EV4AaABAg.AZ9h4cmCp5RAZ9tbfA5iDR,@HilmanSakomi,UC5nNySfw1WV2MZA_V69hlWQ,Kalo banyak uang pasti terang walaupun hasil maling,1783900800,0,False,False,Ugw8otkIOKNmMzxm5EV4AaABAg,
Ugw8otkIOKNmMzxm5EV4AaABAg.AZ9h4cmCp5RAZ9v5EpOwki,@aalmubiyyin,UCxErgPjgNFVrygOiBdsiH4g,Meme baru 😂,1783900800,0,False,False,Ugw8otkIOKNmMzxm5EV4AaABAg,
UgwSgexpMj0N-e-zWJp4AaABAg,@dickyhudaya6710,UCW6l7DklDVunAtYQYK1yEig,Pertalite udah mulai langka pak presiden.,1783900800,0,False,False,root,
UgzKpmc3tT5I_HV1AZt4AaABAg,@ijaz_pals,UCXLgze5KGIGDOSXTd4SpZcA,Tolong buat semuanya ya kalo Pak Prabowo pidato terus walaupun isinya ngawur ya biar saja...gak usah dipersoalkan. Ini justru jauh lebih baik ketimbang dia pergi ke luar negeri menghabiskan uang negara toh..,1783900800,3,False,False,root,
UgynckDcYuqkPBfRABV4AaABAg,@GadeblassYou,UC-ya_YMguup0n31iCBU7T-A,Masih ingat janji kampanye nya dulu pak? Apa sudah ada yg tercapai!!!@,1783900800,2,False,False,root,
Ugy97oya8mSGZ-XnIeR4AaABAg,@asaluploadaja7737,UChfY0MX3O3UvJaYnAXsa9IA,gk maksd saya😅,1783900800,0,False,False,root,
UgxyAMALCke7UtHtRl94AaABAg,@oentarinitjitro,UC3BAlrO5eVg00M3dl8kMd6g,"Tangkap semua koruptor Prsidenku rakyat mendukungmu selalu miskinkan koruptor sampe anak cucu cicit,buat undang2 hukum mati bagi koruptor supaya tidak rakus merampok uang negara.",1783900800,2,False,False,root,
UgzuNrtDylEqOJ7OqXN4AaABAg,@NoahHao-h4f,UC6wMKPzl-6K65XLbu2pOvLA,❤❤,1783900800,1,False,False,root,
Ugz6IByWe0WXmjSJ2Dh4AaABAg,@siliwangi1804,UCbS-nnjlGsaN5FJqsb-7frA,"Tak ku sangka Prabowo ternyata prabowo punya jiwa nasionalis yang tinggi yang ingin rakyatnya tidak sengsara, hidup Prabowo🔥🔥🔥🔥🔥💪💪💪🙏🙏🙏",1783900800,8,False,False,root,
Ugz6IByWe0WXmjSJ2Dh4AaABAg.AZ9fZ_HqVATAZ9wZghdyxC,@fajarnurikhsan-e1u,UC2gs4-RBBuljYa9orOI5SNg,10+6=17,1783900800,0,False,False,Ugz6IByWe0WXmjSJ2Dh4AaABAg,
Ugz6IByWe0WXmjSJ2Dh4AaABAg.AZ9fZ_HqVATAZAYfWjuMQ4,@dantikris8011,UCrOxhBAytVzOB1kB4t4wLUA,"Cair, cair😂",1783900800,0,False,False,Ugz6IByWe0WXmjSJ2Dh4AaABAg,
Ugz6IByWe0WXmjSJ2Dh4AaABAg.AZ9fZ_HqVATAZB_pFPmED2,@jakalarrachanel6773,UCW17zJBQCj3G6X0lg0pAD1Q,​ @dantikris8011 itu bahasa jurus terakhir ya😂😂😂,1783900800,0,False,False,Ugz6IByWe0WXmjSJ2Dh4AaABAg.AZ9fZ_HqVATAZAYfWjuMQ4,
UgwxaOtoPvNtv8klt0F4AaABAg,@budisantoso4322,UC-LF-U9tUATZ4021elPF0MQ,NGGEDABRUS,1783900800,0,False,False,root,
UgwhJLHuw1tnx9-k2094AaABAg,@EDHydirman,UCWk4JU-g40LuNVoxN2ovERQ,❤❤❤,1783900800,0,False,False,root,
Ugw0fjNnalTU2Z2N-kt4AaABAg,@penontonsetia9125,UCTPZCQ4oOimjw_u1pj-OX4Q,"presiden RI pidato     ❌
presiden RI baca teks✅
🤔🧌",1783900800,0,False,False,root,
